code,company,date,text
MCD,McDonald’s Corporation,2017-10-06,S&P 500 Snaps Longest Winning Streak in Four Years on Weak Jobs Data
MCD,McDonald’s Corporation,2017-10-05,Yum China misses by $0.04  beats on revenue
MCD,McDonald’s Corporation,2017-10-04,Sonic details payment card breach
MCD,McDonald’s Corporation,2017-10-24,Comparable sales strong at McDonald's
MCD,McDonald’s Corporation,2017-10-24,Stocks- U.S. Futures Point to Another Record Day on Wall Street
MCD,McDonald’s Corporation,2017-10-24,Top 5 Things to Know in the Market on Tuesday
MCD,McDonald’s Corporation,2017-10-23,Notable earnings before Tuesday’s open
MCD,McDonald’s Corporation,2017-10-23,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.23%
MCD,McDonald’s Corporation,2017-10-23,Dow Jones Retreats from All-Time Highs as General Electric Slides Nearly 7%  
MCD,McDonald’s Corporation,2017-10-23,McDonald's earnings preview
MCD,McDonald’s Corporation,2017-10-22,Economic Calendar - Top 5 Things to Watch This Week
MCD,McDonald’s Corporation,2017-10-21,Stocks to watch next week
MCD,McDonald’s Corporation,2017-10-20,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.71%
MCD,McDonald’s Corporation,2017-11-01,Investor demand boosts Canada maple bond outlook  case for index inclusion
MCD,McDonald’s Corporation,2017-10-30,Dunkin' Brands spikes on talk of JAB interest
MCD,McDonald’s Corporation,2017-10-26,Baskin-Robbins sales drop weighs on Dunkin' Brands' third-quarter profit
MCD,McDonald’s Corporation,2017-10-26,'Golden Arches': McDonald's gets new China name following unit sale
MCD,McDonald’s Corporation,2017-10-24,Chipotle shares fall as store openings scaled back  profit disappoints
MCD,McDonald’s Corporation,2017-10-24,Dow jumps with upbeat 3M  Caterpillar earnings
MCD,McDonald’s Corporation,2017-10-24,McDonald's Rolls Out Successor to Dollar Menu as Price War Rages
MCD,McDonald’s Corporation,2017-10-24,McDonald's sales strong as cheap drinks  new burgers lure back diners
MCD,McDonald’s Corporation,2017-10-24,Stocks- Dow Opens at Record High as Caterpillar Stocks Surge
MCD,McDonald’s Corporation,2017-10-24,McDonald’s Q3 Results in Line With Expectations
MCD,McDonald’s Corporation,2017-11-13,Dow Jones Closes Higher  Shrugs off Slump in Industrials
MCD,McDonald’s Corporation,2017-11-13,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.07%
MCD,McDonald’s Corporation,2017-11-13,Bernstein talks Amazon aftershocks
MCD,McDonald’s Corporation,2017-11-11,Stocks to watch next week
MCD,McDonald’s Corporation,2017-11-10,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.17%
MCD,McDonald’s Corporation,2017-11-10,Dow Snaps 9-Week Winning Streak  Nvidia Surges 5%
MCD,McDonald’s Corporation,2017-11-09,Dow Jones Sheds 101 Points on Fears of Delay to Corporate Tax Cut 
MCD,McDonald’s Corporation,2017-11-09,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.48%
MCD,McDonald’s Corporation,2017-11-02,Starbucks cuts profit outlook as competitors close in
MCD,McDonald’s Corporation,2017-11-02,Wingstop beats by $0.01  beats on revenue
MCD,McDonald’s Corporation,2017-11-29,Tax talk reshuffles restaurant stocks
MCD,McDonald’s Corporation,2017-11-29,Chipotle seeks turnaround expert to replace Ells as CEO
MCD,McDonald’s Corporation,2017-11-29,Fed Considering Its Own Digital Currency as Bitcoin breaks $11 000
MCD,McDonald’s Corporation,2017-11-29,Nomura sees attractive valuation on Domino's again
MCD,McDonald’s Corporation,2017-11-29, Top 5 Things to Know in the Market on Wednesday
MCD,McDonald’s Corporation,2017-11-28,Stocks- S&P At All Time High as Powell Hearing Underway
MCD,McDonald’s Corporation,2017-11-22,UK targets tech giants over tax avoidance and VAT fraud
MCD,McDonald’s Corporation,2017-11-21,Bloomin' Brands will 'consider perspectives' of Jana
MCD,McDonald’s Corporation,2017-11-20,Bloomin' Brands spikes after Jana Partners applies pressure
MCD,McDonald’s Corporation,2017-11-20,Fast-food chains outperform in Q3
MCD,McDonald’s Corporation,2017-12-14,Investors call on Sanderson  Denny's  McDonald's to cut antibiotics
MCD,McDonald’s Corporation,2017-12-12,Dow Jones Notches 118 Points Amid Tax Reform Optimism   
MCD,McDonald’s Corporation,2017-12-09,McDonald's Malaysia refutes Israel ties after boycott calls
MCD,McDonald’s Corporation,2017-12-05,Tech rally burns out  leaves Wall Street lower
MCD,McDonald’s Corporation,2017-12-05,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.45%
MCD,McDonald’s Corporation,2017-12-05,Nasdaq Falls For Second Straight Day as Tech Rebound Fades
MCD,McDonald’s Corporation,2017-12-05,McDonald's Dollar Menu Replacement Fuels Industry Price War
MCD,McDonald’s Corporation,2017-12-05,Jefferies sees McDonald's running to $200
MCD,McDonald’s Corporation,2017-12-05,China's budding coffee culture propels Starbucks  attracts rivals
MCD,McDonald’s Corporation,2017-12-01,Bitcoin Recovers as Futures Launch Date Confirmed
MCD,McDonald’s Corporation,2018-01-30,Top 5 Things to Know in the Market on Tuesday
MCD,McDonald’s Corporation,2018-01-29,Notable earnings before Tuesday’s open
MCD,McDonald’s Corporation,2018-01-29,McDonald's Traffic Rises This Year After New Dollar Menu Debut
MCD,McDonald’s Corporation,2018-01-29,Economic Calendar: Top Things to Watch 
MCD,McDonald’s Corporation,2018-01-29,Stocks - U.S. Futures Pull Back From Record Highs in Key Week for Earnings  Data
MCD,McDonald’s Corporation,2018-01-29,Top 5 Things to Know in the Market on Monday
MCD,McDonald’s Corporation,2018-01-28,Economic Calendar - Top 5 Things to Watch This Week
MCD,McDonald’s Corporation,2018-01-25,Starbucks disappoints after holiday drink sales lose steam
