Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,42.410000,42.900002,42.070000,42.139999,36.012787,8452900
2012-01-04,42.060001,42.919998,41.919998,42.740002,36.525536,11085800
2012-01-05,42.630001,43.200001,42.389999,43.090000,36.824635,10245500
2012-01-06,43.000000,43.299999,42.799999,43.200001,36.918655,7285500
2012-01-09,43.180000,43.299999,42.750000,43.230000,36.944290,7346600
2012-01-10,43.529999,43.599998,43.119999,43.529999,37.200672,7497500
2012-01-11,43.520000,43.599998,43.160000,43.459999,37.140846,8222100
2012-01-12,43.590000,43.660000,43.130001,43.389999,37.081020,8449900
2012-01-13,43.110001,43.529999,42.919998,43.509998,37.183578,8076200
2012-01-17,43.610001,43.959999,43.520000,43.740002,37.380119,7709100
2012-01-18,43.720001,44.990002,43.700001,44.880001,38.354366,13147000
2012-01-19,44.869999,45.419998,44.450001,45.410000,38.807323,15722900
2012-01-20,45.450001,45.500000,44.310001,44.509998,38.038181,12589200
2012-01-23,44.320000,44.990002,43.980000,44.880001,38.354366,13779200
2012-01-24,44.700001,45.130001,44.560001,44.959999,38.422737,10953000
2012-01-25,44.830002,45.410000,44.599998,45.259998,38.679119,9930000
2012-01-26,45.349998,45.349998,44.470001,44.950001,38.414192,11174400
2012-01-27,44.730000,45.000000,44.410000,44.869999,38.345837,7924800
2012-01-30,44.580002,44.790001,44.220001,44.770000,38.260380,6724600
2012-01-31,44.869999,45.250000,44.259998,44.389999,37.935616,10343500
2012-02-01,44.689999,44.910000,44.419998,44.470001,38.003994,10906400
2012-02-02,44.549999,44.619999,44.299999,44.459999,37.995441,8963500
2012-02-03,44.820000,45.270000,44.820000,45.169998,38.602215,10422700
2012-02-06,45.049999,45.279999,44.990002,45.200001,38.627846,8091400
2012-02-07,45.130001,45.580002,45.099998,45.459999,38.850040,9725400
2012-02-08,45.459999,45.470001,44.849998,45.169998,38.602215,7578800
2012-02-09,45.270000,45.369999,44.830002,45.270000,38.687675,5356700
2012-02-10,44.970001,45.330002,44.930000,45.330002,38.738953,5026100
2012-02-13,45.520000,46.110001,45.450001,45.930000,39.251709,9184000
2012-02-14,45.860001,46.209999,45.680000,46.060001,39.362808,7717100
2012-02-15,45.759998,46.169998,45.650002,45.709999,39.063683,7486800
2012-02-16,45.889999,46.230000,45.720001,45.930000,39.251709,7453800
2012-02-17,46.150002,46.720001,46.090000,46.709999,39.918282,11555900
2012-02-21,48.060001,48.070000,46.639999,46.919998,40.097763,20475700
2012-02-22,46.799999,47.240002,46.450001,46.570000,39.798649,11639500
2012-02-23,46.540001,47.200001,46.520000,46.950001,40.123394,9232100
2012-02-24,47.000000,47.139999,46.779999,46.980000,40.149029,9730700
2012-02-27,46.700001,47.369999,46.590000,46.930000,40.106289,9804600
2012-02-28,47.189999,47.330002,46.830002,47.230000,40.362682,7947700
2012-02-29,47.209999,47.799999,47.200001,47.570000,40.653252,11348600
2012-03-01,47.529999,47.889999,47.290001,47.459999,40.559235,7940900
2012-03-02,47.439999,47.630001,47.270000,47.410000,40.516506,5916700
2012-03-05,47.279999,47.680000,46.939999,47.389999,40.499420,9044600
2012-03-06,46.639999,46.720001,46.119999,46.389999,39.888920,9087000
2012-03-07,46.410000,47.500000,46.360001,47.389999,40.748779,10648900
2012-03-08,47.529999,47.990002,47.459999,47.820000,41.118515,10433000
2012-03-09,47.919998,48.180000,47.830002,48.099998,41.359268,8799200
2012-03-12,48.070000,48.660000,48.000000,48.590000,41.780605,9458800
2012-03-13,48.700001,49.169998,48.599998,49.139999,42.253532,10853100
2012-03-14,49.419998,49.709999,49.230000,49.470001,42.537296,10076400
